Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  6  5  -2.3  997 185  2.6 8  3.1  92    0    0 292 -317  3
4021500 2690500  1  6  6  -0.8  997 181  3.8 8  3.2  92    0    0 294 -319  3
4021500 2690500  1  6  7  -2.1  996 192  3.6 8  3.3  95    0    0 296 -321  3
4021500 2690500  1  6  8  -0.1  996 190  4.8 8  3.4  96    0    0 299 -321  3
4021500 2690500  1  6  9  -0.5  996 181  4.5 8  3.6  94    0    1 303 -321  3
4021500 2690500  1  6 10   0.2  996 196  4.4 8  3.7  96    0   24 305 -322  3
4021500 2690500  1  6 11   0.5  996 197  4.3 8  3.8  95    0   26 307 -322  3
4021500 2690500  1  6 12   0.8  995 196  4.4 8  3.9  95    0   30 309 -324  3
4021500 2690500  1  6 13   0.8  995 201  3.7 8  3.9  96    0   34 311 -328  3
4021500 2690500  1  6 14   1.2  994 201  3.9 8  4.0  96    0   31 313 -330  3
4021500 2690500  1  6 15   1.3  993 191  4.0 7  4.1  96    0   36 305 -329  3
4021500 2690500  1  6 16   1.3  993 189  4.1 8  4.2  98    0   16 305 -329  3
4021500 2690500  1  6 17   1.5  992 185  3.4 8  4.3 100    0    0 316 -330  3
4021500 2690500  1  6 18   1.8  993 198  3.6 8  4.4 100    0    0 317 -332  3
4021500 2690500  1  6 19   2.2  992 202  4.2 8  4.4  99    0    0 320 -334  3
4021500 2690500  1  6 20   2.2  992 203  4.1 8  4.5  99    0    0 320 -335  3
4021500 2690500  1  6 21   2.8  991 209  4.2 8  4.6  99    0    0 321 -335  3
4021500 2690500  1  6 22   2.7  991 219  4.8 8  4.7  99    0    0 322 -336  3
4021500 2690500  1  6 23   3.2  991 217  3.7 8  4.7  98    0    0 322 -337  3
4021500 2690500  1  6 24   3.1  991 196  4.4 8  4.8  98    0    0 321 -337  3
4021500 2690500  1  7  1   3.3  991 223  3.9 8  4.9 100    0    0 320 -337  3
4021500 2690500  1  7  2   3.3  991 255  2.5 7  4.9 100    0    0 312 -338  3
4021500 2690500  1  7  3   3.2  991 209  3.1 8  4.9  99    0    0 312 -338  3
4021500 2690500  1  7  4   3.0  992 214  2.8 8  4.7  98    0    0 319 -337  3
4021500 2690500  1  7  5   3.3  992 244  2.7 7  4.7  96    0    0 313 -337  3
4021500 2690500  1  7  6   2.8  992 267  2.3 7  4.7  97    0    0 306 -337  3
4021500 2690500  1  7  7   3.1  992 236  2.8 6  4.7  98    0    0 300 -336  3
4021500 2690500  1  7  8   2.8  992 224  1.8 7  4.7  98    0    0 299 -334  3
4021500 2690500  1  7  9   2.6  993 242  2.2 7  4.6  98    0    3 303 -333  3
4021500 2690500  1  7 10   3.3  993 218  2.3 7  4.6  96    4   49 304 -332  3
4021500 2690500  1  7 11   3.9  994 212  2.2 7  4.8  95    4   83 307 -332  3
4021500 2690500  1  7 12   4.5  994 209  2.4 8  4.9  93    0   70 315 -333  3
