Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  6 20  -0.7  999  82  4.8 8  3.4  95    0    0 294 -320  0
4021500 2690500  1  6 21  -0.5  999  63  4.3 8  3.4  93    0    0 294 -320  0
4021500 2690500  1  6 22  -1.0  999  49  3.6 8  3.4  93    0    0 293 -320  0
4021500 2690500  1  6 23  -0.9 1000  47  3.5 8  3.3  93    0    0 293 -319  0
4021500 2690500  1  6 24  -0.4 1000  60  4.2 7  3.3  91    0    0 290 -319  0
4021500 2690500  1  7  1  -1.1 1000  62  3.7 8  3.4  93    0    0 289 -320  0
4021500 2690500  1  7  2  -0.5 1000  69  3.6 8  3.4  94    0    0 294 -320  0
4021500 2690500  1  7  3  -1.2 1000  62  3.0 8  3.4  94    0    0 295 -319  0
4021500 2690500  1  7  4  -0.6 1000  66  3.5 8  3.4  95    0    0 295 -319  0
4021500 2690500  1  7  5  -0.9 1000  64  3.7 8  3.4  94    0    0 296 -320  0
4021500 2690500  1  7  6  -1.0 1000  71  3.8 8  3.4  96    0    0 295 -320  0
4021500 2690500  1  7  7  -0.1 1000  77  3.5 8  3.4  93    0    0 296 -320  0
4021500 2690500  1  7  8  -0.7 1001  86  2.2 8  3.4  91    0    0 297 -320  0
4021500 2690500  1  7  9  -0.4 1001  83  2.8 8  3.4  92    0    0 297 -319  0
4021500 2690500  1  7 10  -0.6 1002  82  2.9 7  3.4  92    0   37 291 -320  0
4021500 2690500  1  7 11  -0.7 1002  65  2.8 7  3.4  94    0   40 285 -321  0
4021500 2690500  1  7 12  -0.6 1002  71  2.9 8  3.5  95    0   41 290 -321  0
4021500 2690500  1  7 13  -0.3 1002  68  2.5 8  3.5  94    0   44 296 -321  0
4021500 2690500  1  7 14   0.1 1002  65  3.0 8  3.5  93    0   37 296 -322  0
4021500 2690500  1  7 15   0.4 1002  68  3.1 8  3.5  91    0   26 297 -322  0
4021500 2690500  1  7 16   0.0 1002  71  2.9 8  3.6  91    0   10 296 -322  0
4021500 2690500  1  7 17   0.1 1002  63  3.5 8  3.6  93    0    0 296 -322  0
4021500 2690500  1  7 18   0.0 1002  73  3.2 8  3.6  93    0    0 296 -321  0
4021500 2690500  1  7 19   0.0 1002  52  3.0 8  3.6  93    0    0 297 -321  0
4021500 2690500  1  7 20  -0.2 1002  63  3.0 8  3.6  94    0    0 297 -320  0
4021500 2690500  1  7 21   0.1 1002  58  3.5 6  3.6  93    0    0 286 -320  0
4021500 2690500  1  7 22   0.0 1002  54  3.5 8  3.5  92    0    0 286 -319  0
4021500 2690500  1  7 23   0.0 1003  58  3.5 8  3.5  92    0    0 297 -319  0
4021500 2690500  1  7 24  -0.7 1002  62  3.8 8  3.5  94    0    0 296 -319  0
4021500 2690500  1  8  1  -0.3 1002  62  4.2 8  3.5  94    0    0 294 -319  0
4021500 2690500  1  8  2  -0.3 1002  70  4.1 8  3.4  92    0    0 295 -320  0
4021500 2690500  1  8  3  -0.7 1002  67  4.6 7  3.4  93    0    0 289 -319  0
4021500 2690500  1  8  4  -0.2 1002  71  4.5 6  3.4  91    0    0 278 -319  0
4021500 2690500  1  8  5  -0.5 1002  72  4.6 5  3.3  89    0    0 268 -319  0
4021500 2690500  1  8  6  -1.2 1002  71  4.5 7  3.3  91    0    0 272 -318  0
4021500 2690500  1  8  7  -0.8 1002  73  4.7 8  3.3  92    0    0 286 -317  0
4021500 2690500  1  8  8  -1.7 1002  76  4.5 8  3.2  93    0    0 290 -317  0
4021500 2690500  1  8  9  -1.7 1003  80  4.0 8  3.2  95    0    0 288 -316  0
4021500 2690500  1  8 10  -1.3 1003  82  3.9 6  3.2  93    6   52 277 -316  0
4021500 2690500  1  8 11  -0.9 1004  88  3.8 5  3.2  92   13   86 263 -317  0
4021500 2690500  1  8 12  -0.3 1004  91  3.9 4  3.3  89    8  105 253 -318  0
4021500 2690500  1  8 13   0.3 1004  86  4.2 5  3.2  85    2  100 255 -320  0
4021500 2690500  1  8 14   0.8 1003  96  3.7 4  3.2  81   12   82 256 -321  0
4021500 2690500  1  8 15  -0.3 1003 108  3.8 5  3.2  81    6   66 255 -321  0
4021500 2690500  1  8 16  -0.2 1003  92  3.1 7  3.1  83    0   22 267 -321  0
4021500 2690500  1  8 17  -1.0 1004  86  2.8 5  3.1  84    0    0 266 -321  0
4021500 2690500  1  8 18  -2.2 1004  91  2.8 3  3.0  87    0    0 245 -321  0
4021500 2690500  1  8 19  -2.7 1004  94  3.0 2  2.9  90    0    0 230 -319  0
4021500 2690500  1  8 20  -3.3 1005  89  2.6 2  2.8  92    0    0 224 -317  0
4021500 2690500  1  8 21  -3.4 1005  89  1.4 0  2.8  94    0    0 214 -315  0
4021500 2690500  1  8 22  -4.2 1005  93  1.5 1  2.7  94    0    0 210 -312  0
4021500 2690500  1  8 23  -4.4 1005  80  0.7 1  2.6  95    0    0 212 -309  0
4021500 2690500  1  8 24  -4.6 1005  69  0.9 0  2.6  94    0    0 208 -307  0
4021500 2690500  1  9  1  -4.8 1005  74  1.2 0  2.5  94    0    0 203 -304  0
4021500 2690500  1  9  2  -5.7 1004  42  1.2 0  2.5  96    0    0 201 -301  0
4021500 2690500  1  9  3  -6.1 1004  38  1.1 2  2.4  97    0    0 208 -300  0
4021500 2690500  1  9  4  -6.4 1004  77  1.2 1  2.3  95    0    0 212 -298  0
4021500 2690500  1  9  5  -7.7 1004  40  1.2 1  2.1  95    0    0 206 -297  0
4021500 2690500  1  9  6  -7.7 1004  43  1.3 1  2.0  94    0    0 204 -296  0
4021500 2690500  1  9  7  -7.9 1004  90  1.0 3  2.0  92    0    0 212 -295  0
4021500 2690500  1  9  8  -8.1 1004  47  1.0 3  2.0  93    0    0 220 -294  0
4021500 2690500  1  9  9  -8.4 1004  88  1.0 4  2.0  95    0    0 223 -294  0
